41092,10,2,9,4,6,25,2.5,100,5.266666667
31271,10,8,9,1,8,28,2.8,100,6.666666667
48023,8,5,1,3,2,17,1.7,100,2.333333333
31269,3,4,9,2,3,18,1.8,100,3
31272,4,7,11,0,9,22,2.2,100,6.866666667
31266,6,9,8,5,7,28,2.8,100,6.066666667
31255,5,10,0,1,3,16,1.6,100,2.866666667
31250,10,6,12,1,3,29,2.9,100,3.733333333
32130,10,2,8,4,10,24,2.4,100,7.6
41040,12,0,5,5,4,22,2.2,100,3.866666667
31268,10,12,10,1,5,33,3.3,100,5.2
32555,0,12,12,0,8,24,2.4,100,6.4
31245,10,0,12,5,7,27,2.7,100,6
31276,0,0,12,4,10,16,1.6,100,7.066666667
31257,10,11,0,0,6,21,2.1,100,5
31247,12,12,0,3,10,27,2.7,100,7.8
12345,5,2,2,1,1,10,1,100,1.266666667
12346,0,0,2,1,6,3,0.3,100,3.8
12347,5,5,1,4,7,15,1.5,100,5.2
12348,6,10,12,5,4,33,3.3,100,4.6
1001,0,5,11,5,9,21,2.1,100,6.8
1002,7,4,2,0,2,13,1.3,100,2.066666667
1003,12,12,5,3,10,32,3.2,100,8.133333333
1004,8,5,2,4,8,19,1.9,100,6.066666667
1005,12,10,8,0,10,30,3,100,8
1006,10,1,5,4,5,20,2,100,4.333333333
1007,5,2,5,5,1,17,1.7,100,1.733333333
1008,8,0,12,0,4,20,2,100,3.733333333
1009,10,4,12,0,6,26,2.6,100,5.333333333
1010,7,12,12,5,0,36,3.6,100,2.4
1011,9,0,0,4,1,13,1.3,100,1.466666667
1012,10,6,10,0,5,26,2.6,100,4.733333333
1013,12,11,2,3,8,28,2.8,100,6.666666667
1014,3,12,2,1,0,18,1.8,100,1.2
1015,8,9,4,5,7,26,2.6,100,5.933333333
1016,0,0,12,0,1,12,1.2,100,1.4
1017,8,0,12,4,6,24,2.4,100,5.2
1018,4,11,12,5,5,32,3.2,100,5.133333333
