41092,10,2,9,4,6,8.5
31271,10,8,9,1,8,10.8
48023,8,5,1,3,2,3.7
31269,3,4,9,2,3,4.8
31272,4,7,11,0,9,11.2
31266,6,9,8,5,7,9.8
31255,5,10,0,1,3,4.6
31250,10,6,12,1,3,5.9
32130,10,2,8,4,10,12.4
41040,12,0,5,5,4,6.2
31268,10,12,10,1,5,8.3
32555,0,12,12,0,8,10.4
31245,10,0,12,5,7,9.7
31276,0,0,12,4,10,11.6
31257,10,11,0,0,6,8.1
31247,12,12,0,3,10,12.7
12345,5,2,2,1,1,2
12346,0,0,2,1,6,6.3
12347,5,5,1,4,7,8.5
12348,6,10,12,5,4,7.3
1001,0,5,11,5,9,11.1
1002,7,4,2,0,2,3.3
1003,12,12,5,3,10,13.2
1042,8,5,2,4,8,9.9
1005,12,10,8,0,10,13
1006,10,1,5,4,5,7
1007,5,2,5,5,1,2.7
1008,8,0,12,0,4,6
1009,10,4,12,0,6,8.6
1010,7,12,12,5,0,3.6
1011,9,0,0,4,1,2.3
1012,10,6,10,0,5,7.6
1013,12,11,2,3,8,10.8
1014,3,12,2,1,0,1.8
1015,8,9,4,5,7,9.6
1016,0,0,12,0,1,2.2
1017,8,0,12,4,6,8.4
1018,4,11,12,5,5,8.2
1019,3,12,0,0,3,4.5
1020,6,5,4,5,10,12
1021,5,0,2,5,7,8.2
1022,7,5,2,4,5,6.8
1023,3,0,1,0,4,4.4
1024,3,5,2,1,4,5.1
1025,4,4,11,4,6,8.3
1026,5,7,2,5,9,10.9
1027,6,0,0,0,9,9.6
1028,3,11,2,0,4,5.6
1029,4,12,5,0,2,4.1
1030,4,2,5,0,5,6.1
1031,5,0,12,0,8,9.7
1032,6,0,12,4,10,12.2
1033,7,11,12,5,9,12.5
1034,4,12,0,0,5,6.6
1035,2,2,0,0,1,1.4
1036,7,0,4,5,4,5.6
1037,6,5,2,4,5,6.7
1038,4,0,1,0,7,7.5
1039,8,5,12,3,3,5.8
1040,9,4,12,1,2,4.6
1041,5,7,12,0,7,9.4
1042,3,0,12,0,7,8.5
1043,4,11,12,4,3,6.1
1044,2,12,12,5,4,7.1
1045,2,2,0,0,10,10.4
1046,3,0,0,0,8,8.3
1047,4,0,2,5,7,8.1
1048,1,11,2,4,10,11.8
1049,5,5,1,0,6,7.1
1050,7,0,12,0,1,2.9
1051,7,5,12,0,9,11.4
1052,8,4,12,5,7,9.9
1053,5,7,0,4,4,5.6
1054,8,0,0,0,6,6.8
1055,4,11,2,1,1,2.8
1056,3,12,2,4,7,9.1
1057,3,2,1,5,6,7.1
1058,3,0,12,0,8,9.5
1059,4,0,12,0,4,5.6
1060,2,11,12,0,10,12.5
1061,7,0,0,0,0,0.7
1062,6,4,2,0,1,2.2
1063,4,12,8,4,4,6.8
1064,8,0,5,5,2,3.8
1065,9,0,5,0,1,2.4
1066,5,11,12,0,6,8.8
1067,3,12,12,5,5,8.2
1068,4,2,12,4,4,6.2
1069,2,0,0,0,1,1.2
1070,2,5,0,3,10,11
1071,3,0,2,1,1,1.6
1072,4,0,2,0,10,10.6
1073,1,5,1,4,8,9.1
1074,5,4,12,5,7,9.6
1075,7,7,12,0,1,3.6
1076,7,0,12,0,5,6.9
1077,8,11,0,0,6,7.9
1078,5,12,0,0,4,5.7
1079,8,2,2,0,6,7.2
1080,4,0,2,4,1,2
1081,2,0,12,5,5,6.9
1082,2,11,12,0,6,8.5
1083,3,0,12,0,2,3.5
1084,4,0,0,5,6,6.9
1085,1,4,0,4,5,5.9
1086,5,12,2,0,1,2.9
1087,7,0,2,3,2,3.2
1088,7,0,1,1,1,1.9
1089,8,11,12,0,1,4.1
1090,7,12,12,4,2,5.5
1091,7,2,12,5,1,3.6
1092,8,0,0,0,1,1.8
1093,5,5,0,0,2,3
1094,8,0,2,0,2,3
1095,4,9,12,4,9,11.9
1096,2,5,12,4,10,12.3
1097,2,4,0,4,2,3
1098,3,7,8,5,9,11.3
1099,4,0,2,0,2,2.6
1100,7,11,2,0,1,3
1101,7,12,1,5,1,3.5
1102,8,2,12,4,1,3.6
1103,5,0,12,0,1,2.7
1104,8,0,12,3,1,3.3
1105,4,11,0,1,1,2.6
1106,2,0,0,0,1,1.2
1107,2,12,2,4,1,3
1108,3,2,12,5,10,12.2
1109,4,0,12,0,10,11.6
1110,0,0,12,0,10,11.2
1111,5,11,2,3,10,12.1
1112,12,8,12,5,10,13.7
1113,0,0,8,0,1,1.8
1114,0,4,5,4,10,11.3
1115,0,12,5,5,2,4.2
1116,0,0,12,0,0,1.2
1117,0,0,12,4,0,1.6
1118,0,11,12,0,0,2.3
1119,0,12,0,3,4,5.5
1120,2,2,0,1,0,0.5
1121,2,0,2,0,0,0.4
1122,3,5,2,4,10,11.4
1123,4,0,1,5,0,1
1124,0,0,12,0,10,11.2
1125,7,0,0,0,0,0.7
1126,8,11,0,0,10,11.9
1127,5,12,2,0,0,1.9
1128,8,2,2,5,10,11.7
1129,4,0,1,5,9,10
1130,2,5,12,5,0,2.4
1131,2,3,4,2,3,4.1
1132,1,2,4,3,3,4
1133,2,2,2,5,3,4.1
1134,2,0,2,2,0,0.6
